label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
0,cdn.auctions.com.au.,1,0,1,0,20,3.2841837197791883,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,www.chodezilla.com.,1,0,1,0,19,3.4316235658474312,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,iloveoldschoolmusic.com.,1,0,1,0,24,3.371653522439334,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,dogpile.com.,1,0,1,0,12,3.2516291673878235,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.aabakken.org.,1,0,1,0,17,3.1307179879273748,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,traffic-manager.p4d.cloud.slb-ds.com.,1,0,1,0,37,4.1317695012795665,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.logi.com.,1,0,1,0,13,2.8150724101159437,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ghs-svc-https-c776.ghs-ssl.googlehosted.com.,1,0,1,0,44,3.7512211763934302,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,rd.rtb-cdn.net.,1,0,1,0,15,3.0565647621309537,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.truenorthfm.com.,1,0,1,0,21,3.653756708287002,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.whatiscyberliability.com.ghs.googlehosted.com.,1,0,1,0,50,3.9557836298965623,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,cdn.motocard.com.,1,0,1,0,17,3.0130709291038453,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.stowersllc.com.,1,0,1,0,19,3.15556501332972,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.citycompost.com.,1,0,1,0,21,3.2961483747476232,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.5bucks.vc.,1,0,1,0,15,3.4565647621309536,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.wildinside.net.ghs.googlehosted.com.,1,0,1,0,40,3.6586949695628417,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ghs-svc-https-c300.ghs-ssl.googlehosted.com.,1,0,1,0,44,3.7512211763934302,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.corneliainteriors.com.,1,0,1,0,27,3.4858259278490094,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,hubimg.com.,1,0,1,0,11,3.0957952550009344,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,scientific-output.irri.org.,1,0,1,0,27,3.574357762129128,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.karenkisslinger.com.,1,0,1,0,25,3.623465189601647,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,globalenerji.com.tr.,1,0,1,0,20,3.6841837197791887,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.ohanakeyfl.com.,1,0,1,0,20,3.546439344671015,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.basicallyhealthy.com.,1,0,1,0,25,3.643074189428569,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.ertiqagroup.com.,1,0,1,0,20,3.6464393446710153,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.northforkdexters.com.,1,0,1,0,25,3.7230741894285697,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,hellokev.googlepages.com.,1,0,1,0,25,3.433269689515108,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ns2.recruitmentjob.in.,1,0,1,0,22,3.663532754804254,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.sbvelectro.com.,1,0,1,0,19,3.4316235658474312,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.printworldgurgaon.com.,1,0,1,0,26,3.6902603909683847,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,status.scheduleonce.com.,1,0,1,0,24,3.5424812503605785,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.storkrubber.com.,1,0,1,0,21,3.6537567082870015,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.cyclearmory.com.,1,0,1,0,20,3.208694969562841,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,webmail.solecareforsouls.org.,1,0,1,0,29,3.6933452188924916,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,69-7-3-90.rev.cape.com.,1,0,1,0,23,3.708132064658602,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,tsd-2077.cape.com.,1,0,1,0,18,3.6835423624332315,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ssl.keelbeel.com.,1,0,1,0,17,2.9398290174664026,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,host.coursepark.com.,1,0,1,0,20,3.5464393446710147,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www2.indianstudyspot.in.,1,0,1,0,24,3.5424812503605785,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ns.relaytxt.io.,1,0,1,0,15,3.4565647621309536,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.stephenandnoirin.info.,1,0,1,0,26,3.5514280650285066,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.ucsbalum.com.,1,0,1,0,18,3.197159723424149,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.busymombargains.com.,1,0,1,0,24,3.6572682296173897,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,gmail.tamtam.nl.,1,0,1,0,16,2.8584585933443494,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.saymsoftball.com.,1,0,1,0,21,3.463280517810811,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.ocms-yso.org.,1,0,1,0,17,3.1307179879273748,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cdn.foundationsource.com.,1,0,1,0,25,3.593269689515108,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.vx-security.com.,1,0,1,0,20,3.746439344671016,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cdn.thirstie.com.,1,0,1,0,17,3.4548223999466066,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,hotelnautico.googlepages.com.,1,0,1,0,29,3.6899015819921512,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,www.greatoutdoorsandsurvival.com.,1,0,1,0,33,3.9225895736416696,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,craigslist.se.,1,0,1,0,14,3.182005814760214,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,sites.pozara.com.,1,0,1,0,17,3.4548223999466066,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,blueraider85.googlepages.com.,1,0,1,0,29,3.8833374604210062,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ghs-svc-https-c1200.ghs-ssl.googlehosted.com.,1,0,1,0,45,3.821602886135672,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.keystonesolutions.in.,1,0,1,0,25,3.452878689342032,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.studentreachinternational.org.,1,0,1,0,34,3.7999793850498302,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.vinitahornets.com.,1,0,1,0,22,3.6635327548042547,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,app.sync.sajan.com.,1,0,1,0,19,3.15556501332972,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cdn.stopshop.com.,1,0,1,0,17,3.1751231351134614,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,laredet.nana10.co.il.,1,0,1,0,21,3.4992275417233563,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cdn.elshaab.org.,1,0,1,0,16,3.577819531114783,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.propertyboss.com.,1,0,1,0,22,3.6635327548042547,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.ramonambriz.com.,1,0,1,0,20,3.3086949695628416,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.zerolikes.com.,1,0,1,0,18,3.4193819456463714,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.todoga.com.,1,0,1,0,15,2.955913095175825,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,web-ster.com.,1,0,1,0,13,3.3927474104487847,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,viafoura.com.,1,0,1,0,13,3.2389012566026314,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.humanityoutreach.com.ghs.googlehosted.com.,1,0,1,0,46,3.924673368630172,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,wono.snapshotreport.biz.,1,0,1,0,24,3.636842188131012,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,bc-node-08.radiojar.com.,1,0,1,0,24,3.772055208874201,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.sdfair.org.,1,0,1,0,15,3.139572261986723,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,thefreedictionary.com.,1,0,1,0,22,3.6978458230844127,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,webmail.foregon.com.,1,0,1,0,20,3.6464393446710153,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,grupoabril.com.br.,1,0,1,0,18,3.4193819456463714,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,www.connieshi.net.,1,0,1,0,18,3.155221528859512,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
